state,seat_number,clinton_2016,trump_2016,obama_2012,romney_2012,lean
North Carolina,1,180139,143403,194104,144282,0.109929701
North Carolina,2,252108,149941,224423,164436,0.220831909
North Carolina,3,117240,195938,126488,182972,-0.228367069
North Carolina,4,275443,134966,249959,141300,0.320762351
North Carolina,5,102337,226880,114572,203086,-0.345082285
North Carolina,6,221638,141432,217607,151647,0.206817188
North Carolina,7,145154,219948,145112,198308,-0.188205449
North Carolina,8,140991,170137,145475,159270,-0.077541442
North Carolina,9,148878,184980,147364,183150,-0.108181789
North Carolina,10,104388,239662,114769,218573,-0.365922117
North Carolina,11,154019,220622,156429,198755,-0.15824093
North Carolina,12,242594,106179,229471,112532,0.374726852
North Carolina,13,104386,228549,112619,212085,-0.350732513
